d,p_hat,std_dev
0.05,0.00791107177734375,0.0007082064777385381
0.1,0.04791473388671875,0.0016104580524182181
0.15,0.11954803466796875,0.0027243930122305563
0.2,0.2056439208984375,0.0031628578153239197
0.25,0.284913330078125,0.003280347007296682
0.3,0.34308837890625,0.0030044083095106264
0.35,0.3687200927734375,0.0023714399980500167
0.39999999999999997,0.3625469970703125,0.002383973042265677
0.44999999999999996,0.327603759765625,0.0024272227465547106
0.49999999999999994,0.2735589599609375,0.003030817991618986
0.5499999999999999,0.209669189453125,0.0028642200398547573
0.6,0.14874664306640625,0.0024367360459949445
0.65,0.09423614501953125,0.001940034893365142
0.7,0.0537744140625,0.001537257258900434
0.75,0.025701904296875,0.0010604803510565017
0.7999999999999999,0.009979248046875,0.0006057950647927311
0.85,0.00284149169921875,0.00027391613213991123
0.9,0.0004339599609375,9.680183477987955e-05
0.95,1.617431640625e-05,1.5977343887583526e-05
