N,M,Trials,RecoveryRate,RecoveryStdErr,AvgMargin,AvgNormalizedMargin
64,19,10,1.0,0.0,39.54037508241069,17.458003938965454
64,19,50,1.0,0.0,43.17735733949347,121.32819201002262
64,19,200,1.0,0.0,36.39672888517293,394.5496720919555
64,49,10,1.0,0.0,123.01792621853437,18.176683897234387
64,49,50,1.0,0.0,114.52722647922728,108.38227382856405
64,49,200,1.0,0.0,101.57716191569743,439.51764115847465
64,99,10,1.0,0.0,246.6941486138099,17.937677439640236
64,99,50,1.0,0.0,240.43340481524965,122.3601962235329
64,99,200,1.0,0.0,181.7923794018642,361.39134887128023
128,19,10,1.0,0.0,240.68693010299336,110.16967306991823
128,19,50,1.0,0.0,122.46501190248773,307.27972065242966
128,19,200,1.0,0.0,133.54109825599602,1489.3226665574603
128,49,10,1.0,0.0,540.1788173883131,79.38686586774925
128,49,50,1.0,0.0,386.89608577226073,378.1840875767424
128,49,200,1.0,0.0,392.3262827210035,1597.4498847986497
128,99,10,1.0,0.0,1029.194992616855,72.77084067459768
128,99,50,1.0,0.0,787.3852762175538,370.4549199967968
128,99,200,1.0,0.0,675.7081832922375,1411.658647057268
256,19,10,1.0,0.0,759.5218964789146,301.16603746774615
256,19,50,1.0,0.0,712.0847363823184,2150.18096554502
256,19,200,1.0,0.0,628.8780491699818,7726.554936563838
256,49,10,1.0,0.0,2250.151443058039,274.32154281566307
256,49,50,1.0,0.0,1763.6447682116632,1686.2982254775948
256,49,200,1.0,0.0,1319.40531781447,5322.625417867867
256,99,10,1.0,0.0,4430.530588339744,325.75929393712556
256,99,50,1.0,0.0,2937.5200987355192,1469.937285707681
256,99,200,1.0,0.0,2809.1673109982867,5469.177435372253
